volumen,disrupcion,algoritmo,replica,semilla,pedidos_totales,pedidos_atendidos,pedidos_a_tiempo,pct_cumplimiento_global,costo_operativo_total,saturacion_almacenes_pct,tiempo_ejecucion_ms
bajo,bajo,aco,1,1,76,76,76,100.00,19542.00,0.00,1695
bajo,bajo,alns,1,1,76,66,66,86.84,14050.00,0.00,5143
bajo,bajo,aco,2,2,76,76,76,100.00,19754.00,0.00,1121
bajo,bajo,alns,2,2,76,67,67,88.16,15294.00,0.00,5185
bajo,bajo,aco,3,3,76,76,76,100.00,19052.00,0.00,1193
bajo,bajo,alns,3,3,76,66,66,86.84,13984.00,0.00,5214
bajo,bajo,aco,4,4,76,76,76,100.00,19996.00,0.00,1185
bajo,bajo,alns,4,4,76,66,66,86.84,13098.00,0.00,5154
bajo,bajo,aco,5,5,76,76,76,100.00,19502.00,0.00,1123
bajo,bajo,alns,5,5,76,66,66,86.84,13664.00,0.00,5144
bajo,bajo,aco,6,6,76,76,76,100.00,19544.00,0.00,1208
bajo,bajo,alns,6,6,76,66,66,86.84,13794.00,0.00,5046
bajo,bajo,aco,7,7,76,76,76,100.00,20456.00,0.00,1164
bajo,bajo,alns,7,7,76,64,64,84.21,12630.00,0.00,5221
bajo,bajo,aco,8,8,76,76,76,100.00,20388.00,0.00,1199
bajo,bajo,alns,8,8,76,67,67,88.16,14902.00,0.00,5029
bajo,bajo,aco,9,9,76,76,76,100.00,19192.00,0.00,1173
bajo,bajo,alns,9,9,76,65,65,85.53,12670.00,0.00,5058
bajo,bajo,aco,10,10,76,76,76,100.00,18662.00,0.00,1154
bajo,bajo,alns,10,10,76,65,65,85.53,13570.00,0.00,5325
bajo,bajo,aco,11,11,76,76,76,100.00,20382.00,0.00,1087
bajo,bajo,alns,11,11,76,64,64,84.21,11840.00,0.00,5213
bajo,bajo,aco,12,12,76,76,76,100.00,18830.00,0.00,1108
bajo,bajo,alns,12,12,76,67,67,88.16,13970.00,0.00,5051
bajo,bajo,aco,13,13,76,76,76,100.00,19902.00,0.00,1052
bajo,bajo,alns,13,13,76,68,68,89.47,14248.00,0.00,5126
bajo,bajo,aco,14,14,76,76,76,100.00,19862.00,0.00,1091
bajo,bajo,alns,14,14,76,67,67,88.16,14728.00,0.00,5167
bajo,bajo,aco,15,15,76,76,76,100.00,19680.00,0.00,1180
bajo,bajo,alns,15,15,76,67,67,88.16,14796.00,0.00,5095
bajo,bajo,aco,16,16,76,76,76,100.00,19306.00,0.00,1082
bajo,bajo,alns,16,16,76,63,63,82.89,12250.00,0.00,5189
bajo,bajo,aco,17,17,76,76,76,100.00,20172.00,0.00,1068
bajo,bajo,alns,17,17,76,67,67,88.16,14340.00,0.00,5221
bajo,bajo,aco,18,18,76,76,76,100.00,19860.00,0.00,1130
bajo,bajo,alns,18,18,76,66,66,86.84,13266.00,0.00,5235
bajo,bajo,aco,19,19,76,76,76,100.00,18940.00,0.00,1202
