volumen,disrupcion,algoritmo,replica,semilla,pedidos_totales,pedidos_atendidos,pedidos_a_tiempo,pct_cumplimiento_global,costo_operativo_total,saturacion_almacenes_pct,tiempo_ejecucion_ms
bajo,bajo,aco,1,1,76,37,37,48.68,8786.00,0.00,48430
bajo,bajo,alns,1,1,76,29,29,38.16,6100.00,0.00,1325
bajo,bajo,aco,2,2,76,35,35,46.05,7276.00,0.00,45595
bajo,bajo,alns,2,2,76,29,29,38.16,6420.00,0.00,884
bajo,bajo,aco,3,3,76,35,35,46.05,7208.00,0.00,42457
bajo,bajo,alns,3,3,76,29,29,38.16,5952.00,0.00,1134
bajo,bajo,aco,4,4,76,37,37,48.68,8704.00,0.00,46080
bajo,bajo,alns,4,4,76,29,29,38.16,6338.00,0.00,963
bajo,bajo,aco,5,5,76,37,37,48.68,7814.00,0.00,46956
bajo,bajo,alns,5,5,76,29,29,38.16,6396.00,0.00,924
bajo,bajo,aco,6,6,76,38,38,50.00,9490.00,0.00,46498
bajo,bajo,alns,6,6,76,29,29,38.16,6372.00,0.00,1100
bajo,bajo,aco,7,7,76,37,37,48.68,7612.00,0.00,43703
bajo,bajo,alns,7,7,76,29,29,38.16,6100.00,0.00,1251
bajo,bajo,aco,8,8,76,37,37,48.68,7992.00,0.00,46788
bajo,bajo,alns,8,8,76,29,29,38.16,6396.00,0.00,1034
bajo,bajo,aco,9,9,76,38,38,50.00,8224.00,0.00,48871
bajo,bajo,alns,9,9,76,29,29,38.16,6396.00,0.00,1042
bajo,bajo,aco,10,10,76,37,37,48.68,8258.00,0.00,43365
bajo,bajo,alns,10,10,76,29,29,38.16,6444.00,0.00,948
bajo,bajo,aco,11,11,76,37,37,48.68,8102.00,0.00,44654
bajo,bajo,alns,11,11,76,28,28,36.84,5266.00,0.00,772
bajo,bajo,aco,12,12,76,37,37,48.68,9080.00,0.00,44523
bajo,bajo,alns,12,12,76,29,29,38.16,6144.00,0.00,960
bajo,bajo,aco,13,13,76,36,36,47.37,8070.00,0.00,47030
bajo,bajo,alns,13,13,76,29,29,38.16,6444.00,0.00,1025
bajo,bajo,aco,14,14,76,34,34,44.74,6742.00,0.00,44644
bajo,bajo,alns,14,14,76,29,29,38.16,6096.00,0.00,1237
bajo,bajo,aco,15,15,76,37,37,48.68,9848.00,0.00,45638
bajo,bajo,alns,15,15,76,29,29,38.16,6372.00,0.00,1038
bajo,bajo,aco,16,16,76,36,36,47.37,8468.00,0.00,43050
bajo,bajo,alns,16,16,76,29,29,38.16,6100.00,0.00,1010
bajo,bajo,aco,17,17,76,36,36,47.37,6826.00,0.00,46161
bajo,bajo,alns,17,17,76,29,29,38.16,6286.00,0.00,1088
bajo,bajo,aco,18,18,76,37,37,48.68,9150.00,0.00,45697
bajo,bajo,alns,18,18,76,29,29,38.16,6096.00,0.00,1092
bajo,bajo,aco,19,19,76,37,37,48.68,8666.00,0.00,44797
bajo,bajo,alns,19,19,76,29,29,38.16,6096.00,0.00,1228
bajo,bajo,aco,20,20,76,37,37,48.68,7882.00,0.00,48317
bajo,bajo,alns,20,20,76,29,29,38.16,6096.00,0.00,1132
bajo,bajo,aco,21,21,76,35,35,46.05,7044.00,0.00,45183
bajo,bajo,alns,21,21,76,29,29,38.16,5972.00,0.00,1040
bajo,bajo,aco,22,22,76,37,37,48.68,8552.00,0.00,43034
bajo,bajo,alns,22,22,76,29,29,38.16,6396.00,0.00,1042
bajo,bajo,aco,23,23,76,38,38,50.00,8164.00,0.00,46225
bajo,bajo,alns,23,23,76,29,29,38.16,6096.00,0.00,1374
bajo,bajo,aco,24,24,76,36,36,47.37,7838.00,0.00,45897
bajo,bajo,alns,24,24,76,29,29,38.16,6096.00,0.00,1211
bajo,bajo,aco,25,25,76,36,36,47.37,7960.00,0.00,45083
bajo,bajo,alns,25,25,76,29,29,38.16,6100.00,0.00,1138
bajo,bajo,aco,26,26,76,35,35,46.05,8100.00,0.00,44808
bajo,bajo,alns,26,26,76,29,29,38.16,6096.00,0.00,1168
bajo,bajo,aco,27,27,76,36,36,47.37,8164.00,0.00,43188
bajo,bajo,alns,27,27,76,29,29,38.16,5844.00,0.00,1006
bajo,bajo,aco,28,28,76,37,37,48.68,9166.00,0.00,44420
bajo,bajo,alns,28,28,76,29,29,38.16,6096.00,0.00,1043
bajo,bajo,aco,29,29,76,36,36,47.37,7476.00,0.00,44518
bajo,bajo,alns,29,29,76,29,29,38.16,6096.00,0.00,1081
bajo,bajo,aco,30,30,76,36,36,47.37,8450.00,0.00,43848
bajo,bajo,alns,30,30,76,29,29,38.16,6396.00,0.00,1076
bajo,alto,aco,1,1,76,31,31,40.79,6838.00,0.00,1161
bajo,alto,alns,1,1,76,24,24,31.58,5364.00,0.00,3
bajo,alto,aco,2,2,76,31,31,40.79,6816.00,0.00,1114
bajo,alto,alns,2,2,76,24,24,31.58,5428.00,0.00,2
bajo,alto,aco,3,3,76,30,30,39.47,6296.00,0.00,1177
bajo,alto,alns,3,3,76,24,24,31.58,5342.00,0.00,2
bajo,alto,aco,4,4,76,31,31,40.79,7846.00,0.00,1183
bajo,alto,alns,4,4,76,24,24,31.58,5762.00,0.00,2
bajo,alto,aco,5,5,76,32,32,42.11,8206.00,0.00,1127
bajo,alto,alns,5,5,76,24,24,31.58,5010.00,0.00,2
bajo,alto,aco,6,6,76,30,30,39.47,7884.00,0.00,1052
bajo,alto,alns,6,6,76,24,24,31.58,5564.00,0.00,2
bajo,alto,aco,7,7,76,32,32,42.11,6850.00,0.00,1101
bajo,alto,alns,7,7,76,24,24,31.58,5146.00,0.00,3
bajo,alto,aco,8,8,76,30,30,39.47,7762.00,0.00,1205
bajo,alto,alns,8,8,76,24,24,31.58,5564.00,0.00,2
bajo,alto,aco,9,9,76,32,32,42.11,6410.00,0.00,1374
bajo,alto,alns,9,9,76,24,24,31.58,5342.00,0.00,2
bajo,alto,aco,10,10,76,30,30,39.47,6634.00,0.00,1163
bajo,alto,alns,10,10,76,24,24,31.58,5762.00,0.00,2
bajo,alto,aco,11,11,76,31,31,40.79,6924.00,0.00,1212
bajo,alto,alns,11,11,76,24,24,31.58,5114.00,0.00,2
bajo,alto,aco,12,12,76,29,29,38.16,4956.00,0.00,1150
bajo,alto,alns,12,12,76,24,24,31.58,5754.00,0.00,2
bajo,alto,aco,13,13,76,31,31,40.79,6842.00,0.00,1098
bajo,alto,alns,13,13,76,24,24,31.58,5340.00,0.00,2
bajo,alto,aco,14,14,76,30,30,39.47,7140.00,0.00,1098
bajo,alto,alns,14,14,76,24,24,31.58,5452.00,0.00,3
bajo,alto,aco,15,15,76,32,32,42.11,6874.00,0.00,1391
bajo,alto,alns,15,15,76,24,24,31.58,5318.00,0.00,2
bajo,alto,aco,16,16,76,30,30,39.47,7564.00,0.00,1106
bajo,alto,alns,16,16,76,24,24,31.58,5650.00,0.00,2
bajo,alto,aco,17,17,76,29,29,38.16,6098.00,0.00,1117
bajo,alto,alns,17,17,76,24,24,31.58,5452.00,0.00,2
bajo,alto,aco,18,18,76,31,31,40.79,7528.00,0.00,1120
bajo,alto,alns,18,18,76,24,24,31.58,5386.00,0.00,3
bajo,alto,aco,19,19,76,29,29,38.16,6570.00,0.00,1095
bajo,alto,alns,19,19,76,24,24,31.58,5316.00,0.00,2
bajo,alto,aco,20,20,76,30,30,39.47,7700.00,0.00,1129
bajo,alto,alns,20,20,76,24,24,31.58,5762.00,0.00,2
bajo,alto,aco,21,21,76,31,31,40.79,7514.00,0.00,1057
bajo,alto,alns,21,21,76,24,24,31.58,5386.00,0.00,2
bajo,alto,aco,22,22,76,31,31,40.79,5652.00,0.00,1105
bajo,alto,alns,22,22,76,24,24,31.58,5564.00,0.00,2
bajo,alto,aco,23,23,76,30,30,39.47,5786.00,0.00,1205
bajo,alto,alns,23,23,76,24,24,31.58,5762.00,0.00,2
bajo,alto,aco,24,24,76,30,30,39.47,7762.00,0.00,1135
bajo,alto,alns,24,24,76,24,24,31.58,5762.00,0.00,2
bajo,alto,aco,25,25,76,29,29,38.16,5538.00,0.00,1106
bajo,alto,alns,25,25,76,24,24,31.58,5574.00,0.00,2
bajo,alto,aco,26,26,76,30,30,39.47,5466.00,0.00,1135
bajo,alto,alns,26,26,76,24,24,31.58,5564.00,0.00,2
bajo,alto,aco,27,27,76,30,30,39.47,6212.00,0.00,1090
bajo,alto,alns,27,27,76,24,24,31.58,5762.00,0.00,2
bajo,alto,aco,28,28,76,31,31,40.79,7056.00,0.00,1200
bajo,alto,alns,28,28,76,24,24,31.58,5386.00,0.00,2
bajo,alto,aco,29,29,76,31,31,40.79,7064.00,0.00,1164
bajo,alto,alns,29,29,76,24,24,31.58,5650.00,0.00,2
bajo,alto,aco,30,30,76,31,31,40.79,7922.00,0.00,1094
bajo,alto,alns,30,30,76,24,24,31.58,5316.00,0.00,2
medio,bajo,aco,1,1,369,52,52,14.09,9404.00,0.00,180634
medio,bajo,alns,1,1,369,32,32,8.67,7196.00,0.00,1056
medio,bajo,aco,2,2,369,55,55,14.91,7910.00,0.00,168372
medio,bajo,alns,2,2,369,32,32,8.67,7428.00,0.00,1035
medio,bajo,aco,3,3,369,55,55,14.91,7750.00,0.00,173198
medio,bajo,alns,3,3,369,31,31,8.40,5660.00,0.00,1173
medio,bajo,aco,4,4,369,51,51,13.82,6872.00,0.00,176060
medio,bajo,alns,4,4,369,32,32,8.67,7604.00,0.00,981
medio,bajo,aco,5,5,369,51,51,13.82,7294.00,0.00,181464
medio,bajo,alns,5,5,369,31,31,8.40,5494.00,0.00,1171
medio,bajo,aco,6,6,369,51,51,13.82,8126.00,0.00,183618
medio,bajo,alns,6,6,369,32,32,8.67,7428.00,0.00,1115
medio,bajo,aco,7,7,369,51,51,13.82,7590.00,0.00,181522
medio,bajo,alns,7,7,369,31,31,8.40,6292.00,0.00,1212
medio,bajo,aco,8,8,369,52,52,14.09,7408.00,0.00,172449
medio,bajo,alns,8,8,369,32,32,8.67,6876.00,0.00,1017
medio,bajo,aco,9,9,369,53,53,14.36,7756.00,0.00,174799
medio,bajo,alns,9,9,369,32,32,8.67,7596.00,0.00,997
medio,bajo,aco,10,10,369,54,54,14.63,8844.00,0.00,185143
medio,bajo,alns,10,10,369,31,31,8.40,5540.00,0.00,1252
medio,bajo,aco,11,11,369,51,51,13.82,7390.00,0.00,184625
medio,bajo,alns,11,11,369,32,32,8.67,7156.00,0.00,1074
medio,bajo,aco,12,12,369,56,56,15.18,8432.00,0.00,175543
medio,bajo,alns,12,12,369,32,32,8.67,7096.00,0.00,983
medio,bajo,aco,13,13,369,52,52,14.09,6548.00,0.00,186803
medio,bajo,alns,13,13,369,32,32,8.67,7580.00,0.00,1098
medio,bajo,aco,14,14,369,50,50,13.55,7562.00,0.00,171100
medio,bajo,alns,14,14,369,32,32,8.67,7240.00,0.00,1184
medio,bajo,aco,15,15,369,54,54,14.63,7042.00,0.00,182540
medio,bajo,alns,15,15,369,31,31,8.40,5242.00,0.00,1086
medio,bajo,aco,16,16,369,52,52,14.09,7358.00,0.00,176056
medio,bajo,alns,16,16,369,32,32,8.67,7436.00,0.00,910
medio,bajo,aco,17,17,369,53,53,14.36,8282.00,0.00,180394
medio,bajo,alns,17,17,369,32,32,8.67,6918.00,0.00,1203
medio,bajo,aco,18,18,369,53,53,14.36,6932.00,0.00,184224
medio,bajo,alns,18,18,369,32,32,8.67,7428.00,0.00,942
medio,bajo,aco,19,19,369,54,54,14.63,8144.00,0.00,175908
medio,bajo,alns,19,19,369,32,32,8.67,7308.00,0.00,833
medio,bajo,aco,20,20,369,50,50,13.55,6820.00,0.00,169160
